Name,City,Country,IATA,ICAO,Latitude,Longitude
Thunder Bay Airport,Thunder Bay,Canada,YQT,CYQT,48.37189865,-89.32389832
Grande Prairie Airport,Grande Prairie,Canada,YQU,CYQU,55.17969894,-118.8850021
Yorkton Municipal Airport,Yorkton,Canada,YQV,CYQV,51.26470184,-102.461998
North Battleford Airport,North Battleford,Canada,YQW,CYQW,52.76919937,-108.2440033
Gander International Airport,Gander,Canada,YQX,CYQX,48.93690109,-54.56809998
Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,YQY,CYQY,46.1614,-60.047798
Quesnel Airport,Quesnel,Canada,YQZ,CYQZ,53.02610016,-122.5100021
Resolute Bay Airport,Resolute,Canada,YRB,CYRB,74.71690369,-94.9693985
Rivière-du-Loup Airport,Riviere Du Loup,Canada,YRI,CYRI,47.76440048,-69.58470154
Roberval Airport,Roberval,Canada,YRJ,CYRJ,48.52000046,-72.26560211
Rocky Mountain House Airport,Rocky Mountain House,Canada,YRM,CYRM,52.42969894,-114.9039993
Rankin Inlet Airport,Rankin Inlet,Canada,YRT,CYRT,62.81140137,-92.11579895
Sudbury Airport,Sudbury,Canada,YSB,CYSB,46.625,-80.79889679
Sherbrooke Airport,Sherbrooke,Canada,YSC,CYSC,45.43859863,-71.69139862
Saint John Airport,St. John,Canada,YSJ,CYSJ,45.31610107,-65.89029694
Fort Smith Airport,Fort Smith,Canada,YSM,CYSM,60.02030182,-111.961998
Nanisivik Airport,Nanisivik,Canada,YSR,CYSR,72.982201,-84.613602
Summerside Airport,Summerside,Canada,YSU,CYSU,46.44060135,-63.83359909
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,YSY,CYSY,71.99389648,-125.2429962
Cape Dorset Airport,Cape Dorset,Canada,YTE,CYTE,64.23000336,-76.52670288
Thompson Airport,Thompson,Canada,YTH,CYTH,55.80110168,-97.86419678
CFB Trenton,Trenton,Canada,YTR,CYTR,44.1189003,-77.52809906
Timmins/Victor M. Power,Timmins,Canada,YTS,CYTS,48.56969833,-81.37670136
Billy Bishop Toronto City Centre Airport,Toronto,Canada,YTZ,CYTZ,43.627499,-79.396202
Tuktoyaktuk Airport,Tuktoyaktuk,Canada,YUB,CYUB,69.4332962,-133.026001
Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,CYUL,45.47060013,-73.74079895
Repulse Bay Airport,Repulse Bay,Canada,YUT,CYUT,66.52140045,-86.22470093
Hall Beach Airport,Hall Beach,Canada,YUX,CYUX,68.77610016,-81.2425
Rouyn Noranda Airport,Rouyn,Canada,YUY,CYUY,48.20610046,-78.83560181
La Ronge Airport,La Ronge,Canada,YVC,CYVC,55.15140152,-105.262001
Vermilion Airport,Vermillion,Canada,YVG,CYVG,53.35580063,-110.8239975
Qikiqtarjuaq Airport,Broughton Island,Canada,YVM,CYVM,67.54579926,-64.03140259
Val-d'Or Airport,Val D'or,Canada,YVO,CYVO,48.05329895,-77.78279877
Kuujjuaq Airport,Quujjuaq,Canada,YVP,CYVP,58.09609985,-68.42690277
Norman Wells Airport,Norman Wells,Canada,YVQ,CYVQ,65.28160095,-126.7979965
Vancouver International Airport,Vancouver,Canada,YVR,CYVR,49.19390106,-123.1839981
Buffalo Narrows Airport,Buffalo Narrows,Canada,YVT,CYVT,55.84189987,-108.4179993
Wiarton Airport,Wiarton,Canada,YVV,CYVV,44.7458,-81.107201
Petawawa Airport,Petawawa,Canada,YWA,CYWA,45.95220184,-77.31919861
Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,YWG,CYWG,49.90999985,-97.23989868
Wabush Airport,Wabush,Canada,YWK,CYWK,52.9219017,-66.86440277
Williams Lake Airport,Williams Lake,Canada,YWL,CYWL,52.18310165,-122.0540009
Wrigley Airport,Wrigley,Canada,YWY,CYWY,63.20940018,-123.4369965
Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,YXC,CYXC,49.6108017,-115.7819977
Edmonton City Centre (Blatchford Field) Airport,Edmonton,Canada,YXD,CYXD,53.57249832,-113.5210037
Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,YXE,CYXE,52.17079926,-106.6999969
Medicine Hat Airport,Medicine Hat,Canada,YXH,CYXH,50.01890182,-110.7210007
Fort St John Airport,Fort Saint John,Canada,YXJ,CYXJ,56.23809814,-120.7399979
Sioux Lookout Airport,Sioux Lookout,Canada,YXL,CYXL,50.11389923,-91.90529633
Pangnirtung Airport,Pangnirtung,Canada,YXP,CYXP,66.14499664,-65.71360016
Earlton (Timiskaming Regional) Airport,Earlton,Canada,YXR,CYXR,47.69740065,-79.84734535
Prince George Airport,Prince George,Canada,YXS,CYXS,53.88940048,-122.6790009
Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,YXT,CYXT,54.468498,-128.576009
London Airport,London,Canada,YXU,CYXU,43.035599,-81.1539
Abbotsford Airport,Abbotsford,Canada,YXX,CYXX,49.02529907,-122.3610001
Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,YXY,CYXY,60.70959854,-135.0670013
North Bay Jack Garland Airport,North Bay,Canada,YYB,CYYB,46.363602,-79.422798
Calgary International Airport,Calgary,Canada,YYC,CYYC,51.11389923,-114.0199966
Smithers Airport,Smithers,Canada,YYD,CYYD,54.8246994,-127.1829987
Fort Nelson Airport,Fort Nelson,Canada,YYE,CYYE,58.83639908,-122.5970001
Penticton Airport,Penticton,Canada,YYF,CYYF,49.46310043,-119.6019974
Charlottetown Airport,Charlottetown,Canada,YYG,CYYG,46.29000092,-63.12110138
Taloyoak Airport,Spence Bay,Canada,YYH,CYYH,69.54669952,-93.5766983
Victoria International Airport,Victoria,Canada,YYJ,CYYJ,48.64690018,-123.4260025
Lynn Lake Airport,Lynn Lake,Canada,YYL,CYYL,56.86389923,-101.0759964
Swift Current Airport,Swift Current,Canada,YYN,CYYN,50.29190063,-107.6910019
Churchill Airport,Churchill,Canada,YYQ,CYYQ,58.73920059,-94.06500244
Goose Bay Airport,Goose Bay,Canada,YYR,CYYR,53.31919861,-60.42580032
St. John's International Airport,St. John's,Canada,YYT,CYYT,47.61859894,-52.75189972
Kapuskasing Airport,Kapuskasing,Canada,YYU,CYYU,49.41389847,-82.46749878
Armstrong Airport,Armstrong,Canada,YYW,CYYW,50.29029846,-88.90969849
Mont Joli Airport,Mont Joli,Canada,YYY,CYYY,48.60860062,-68.20809937
Lester B. Pearson International Airport,Toronto,Canada,YYZ,CYYZ,43.67720032,-79.63059998
Downsview Airport,Toronto,Canada,YZD,CYZD,43.74250031,-79.46559906
Gore Bay Manitoulin Airport,Gore Bay,Canada,YZE,CYZE,45.88529968,-82.56780243
Yellowknife Airport,Yellowknife,Canada,YZF,CYZF,62.46279907,-114.4400024
Slave Lake Airport,Slave Lake,Canada,YZH,CYZH,55.29309845,-114.7770004
Sandspit Airport,Sandspit,Canada,YZP,CYZP,53.25429916,-131.8139954
Chris Hadfield Airport,Sarnia,Canada,YZR,CYZR,42.99940109,-82.30889893
Port Hardy Airport,Port Hardy,Canada,YZT,CYZT,50.68059921,-127.3669968
Whitecourt Airport,Whitecourt,Canada,YZU,CYZU,54.14390182,-115.7870026
Sept-Îles Airport,Sept-iles,Canada,YZV,CYZV,50.22330093,-66.26560211
Teslin Airport,Teslin,Canada,YZW,CYZW,60.17279816,-132.7429962
CFB Greenwood,Greenwood,Canada,YZX,CYZX,44.9844017,-64.91690063
Faro Airport,Faro,Canada,ZFA,CZFA,62.20750046,-133.3760071
Fort Mcpherson Airport,Fort Mcpherson,Canada,ZFM,CZFM,67.40750122,-134.8609924
Blida Airport,Blida,Algeria,QLD,DAAB,36.50360107,2.814169884
Bou Saada Airport,Bou Saada,Algeria,BUJ,DAAD,35.33250046,4.206389904
Soummam Airport,Bejaja,Algeria,BJA,DAAE,36.7120018,5.069920063
Houari Boumediene Airport,Algier,Algeria,ALG,DAAG,36.69100189,3.215409994
Djanet Inedbirene Airport,Djanet,Algeria,DJG,DAAJ,24.292801,9.45244
Boufarik Airport,Boufarik,Algeria,\N,DAAK,36.545799,2.87611
Reggane Airport,Reggan,Algeria,\N,DAAN,26.7101,0.285647
Illizi Takhamalt Airport,Illizi,Algeria,VVZ,DAAP,26.7234993,8.622650146
Ain Oussera Airport,Ain Oussera,Algeria,\N,DAAQ,35.52539825,2.878710032
Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,TMR,DAAT,22.81150055,5.451079845
Jijel Ferhat Abbas Airport,Jijel,Algeria,GJL,DAAV,36.79510117,5.87361002
Mecheria Airport,Mecheria,Algeria,MZW,DAAY,33.53590012,-0.242353007
Relizane Airport,Relizane,Algeria,\N,DAAZ,35.752201,0.626272
Rabah Bitat Airport,Annaba,Algeria,AAE,DABB,36.822201,7.809174
Mohamed Boudiaf International Airport,Constantine,Algeria,CZL,DABC,36.27600098,6.620389938
Cheikh Larbi Tébessi Airport,Tebessa,Algeria,TEE,DABS,35.43159866,8.12071991
Hassi R'Mel Airport,Tilrempt,Algeria,HRM,DAFH,32.93040085,3.311539888
Bou Chekif Airport,Tiaret,Algeria,TID,DAOB,35.34109879,1.463150024
Bou Sfer Airport,Bou Sfer,Algeria,\N,DAOE,35.73540115,-0.805388987
Tindouf Airport,Tindouf,Algeria,TIN,DAOF,27.7003994,-8.167099953
Ech Cheliff Airport,Ech-cheliff,Algeria,CFK,DAOI,36.21269989,1.331769943
Tafaraoui Airport,Oran,Algeria,TAF,DAOL,35.54240036,-0.532278001
Zenata – Messali El Hadj Airport,Tlemcen,Algeria,TLM,DAON,35.01670074,-1.450000048
Es Senia Airport,Oran,Algeria,ORN,DAOO,35.62390137,-0.621182978
Sidi Bel Abbes Airport,Sidi Bel Abbes,Algeria,BFW,DAOS,35.17179871,-0.593275011
Ghriss Airport,Ghriss,Algeria,MUW,DAOV,35.20769882,0.147141993
Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,AZR,DAUA,27.83760071,-0.186414003
Biskra Airport,Biskra,Algeria,BSK,DAUB,34.79330063,5.738230228
El Golea Airport,El Golea,Algeria,ELG,DAUE,30.57130051,2.859590054
Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,GHA,DAUG,32.38410187,3.79411006
Oued Irara Airport,Hassi Messaoud,Algeria,HME,DAUH,31.67300034,6.140439987
In Salah Airport,In Salah,Algeria,INZ,DAUI,27.25099945,2.512020111
Touggourt Sidi Madhi Airport,Touggourt,Algeria,TGR,DAUK,33.06779861,6.088669777
Laghouat Airport,Laghouat,Algeria,LOO,DAUL,33.76440048,2.928339958
Timimoun Airport,Timimoun,Algeria,TMX,DAUT,29.2371006,0.276033014
Ain el Beida Airport,Ouargla,Algeria,OGX,DAUU,31.91720009,5.412779808
In Aménas Airport,Zarzaitine,Algeria,IAM,DAUZ,28.0515,9.64291
Cadjehoun Airport,Cotonou,Benin,COO,DBBB,6.357230186,2.384350061
Ouagadougou Airport,Ouagadougou,Burkina Faso,OUA,DFFD,12.3532,-1.51242
Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,BOY,DFOO,11.16009998,-4.33096981
Kotoka International Airport,Accra,Ghana,ACC,DGAA,5.6051898,-0.166786
Tamale Airport,Tamale,Ghana,TML,DGLE,9.557189941,-0.863214016
Wa Airport,Wa,Ghana,\N,DGLW,10.08269978,-2.507689953
Sunyani Airport,Sunyani,Ghana,NYI,DGSN,7.361830235,-2.328759909
Takoradi Airport,Takoradi,Ghana,TKD,DGTK,4.89605999,-1.774760008
Port Bouet Airport,Abidjan,Cote d'Ivoire,ABJ,DIAP,5.261390209,-3.926290035
Bouaké Airport,Bouake,Cote d'Ivoire,BYK,DIBK,7.738800049,-5.07366991
Daloa Airport,Daloa,Cote d'Ivoire,DJO,DIDL,6.792809963,-6.473189831
Korhogo Airport,Korhogo,Cote d'Ivoire,HGO,DIKO,9.387180328,-5.556660175
Man Airport,Man,Cote d'Ivoire,MJC,DIMN,7.272069931,-7.587359905
San Pedro Airport,San Pedro,Cote d'Ivoire,SPY,DISP,4.746719837,-6.660820007
Yamoussoukro Airport,Yamoussoukro,Cote d'Ivoire,ASK,DIYO,6.903170109,-5.365580082
Nnamdi Azikiwe International Airport,Abuja,Nigeria,ABV,DNAA,9.006790161,7.263169765
Akure Airport,Akure,Nigeria,AKR,DNAK,7.246739864,5.301010132
Benin Airport,Benin,Nigeria,BNI,DNBE,6.316979885,5.599500179
Margaret Ekpo International Airport,Calabar,Nigeria,CBQ,DNCA,4.976019859,8.347200394
Akanu Ibiam International Airport,Enugu,Nigeria,ENU,DNEN,6.474269867,7.56196022
Gusau Airport,Gusau,Nigeria,\N,DNGU,12.1717,6.69611
Ibadan Airport,Ibadan,Nigeria,IBA,DNIB,7.362460136,3.978329897
Ilorin International Airport,Ilorin,Nigeria,ILR,DNIL,8.440210342,4.493919849
Yakubu Gowon Airport,Jos,Nigeria,JOS,DNJO,9.639829636,8.869050026
Kaduna Airport,Kaduna,Nigeria,KAD,DNKA,10.6960001,7.320109844
Mallam Aminu International Airport,Kano,Nigeria,KAN,DNKN,12.0476,8.52462
Maiduguri International Airport,Maiduguri,Nigeria,MIU,DNMA,11.85529995,13.08090019
Makurdi Airport,Makurdi,Nigeria,MDI,DNMK,7.70388,8.61394
Murtala Muhammed International Airport,Lagos,Nigeria,LOS,DNMM,6.577370167,3.321160078
Minna Airport,Minna,Nigeria,MXJ,DNMN,9.652170181,6.462259769
Port Harcourt International Airport,Port Hartcourt,Nigeria,PHC,DNPO,5.015490055,6.949590206
Sadiq Abubakar III International Airport,Sokoto,Nigeria,SKO,DNSO,12.91629982,5.207190037
Yola Airport,Yola,Nigeria,YOL,DNYO,9.25755024,12.43039989
Zaria Airport,Zaria,Nigeria,ZAR,DNZA,11.1302,7.68581
Maradi Airport,Maradi,Niger,MFQ,DRRM,13.50249958,7.126749992
Diori Hamani International Airport,Niamey,Niger,NIM,DRRN,13.4815,2.18361
Tahoua Airport,Tahoua,Niger,THZ,DRRT,14.8757,5.265359879
Mano Dayak International Airport,Agadez,Niger,AJY,DRZA,16.9659996,8.000109673
Dirkou Airport,Dirkou,Niger,\N,DRZD,18.96870041,12.86870003
Diffa Airport,Diffa,Niger,\N,DRZF,13.37290001,12.6267004
Zinder Airport,Zinder,Niger,ZND,DRZR,13.77900028,8.98375988
Monastir Habib Bourguiba International Airport,Monastir,Tunisia,MIR,DTMB,35.7580986,10.75469971
Tunis Carthage International Airport,Tunis,Tunisia,TUN,DTTA,36.85100174,10.22719955
Sidi Ahmed Air Base,Bizerte,Tunisia,\N,DTTB,37.245398,9.79145
Remada Air Base,Remada,Tunisia,\N,DTTD,32.30619812,10.38210011
Gafsa Ksar International Airport,Gafsa,Tunisia,GAF,DTTF,34.42200089,8.822500229
Gabès Matmata International Airport,Gabes,Tunisia,GAE,DTTG,33.87689972,10.10330009
Borj El Amri Airport,Bordj El Amri,Tunisia,\N,DTTI,36.72129822,9.943149567
Djerba Zarzis International Airport,Djerba,Tunisia,DJE,DTTJ,33.875,10.7755003
El Borma Airport,El Borma,Tunisia,EBM,DTTR,31.70429993,9.254619598
Sfax Thyna International Airport,Sfax,Tunisia,SFA,DTTX,34.7179985,10.69099998
Tozeur Nefta International Airport,Tozeur,Tunisia,TOE,DTTZ,33.93970108,8.110560417
Niamtougou International Airport,Niatougou,Togo,LRL,DXNG,9.76733017,1.091249943
Lomé-Tokoin Airport,Lome,Togo,LFW,DXXX,6.165609837,1.254510045
Antwerp International Airport (Deurne),Antwerp,Belgium,ANR,EBAW,51.18939972,4.460279942
Beauvechain Air Base,Beauvechain,Belgium,\N,EBBE,50.75859833,4.768330097
Kleine Brogel Air Base,Kleine Brogel,Belgium,\N,EBBL,51.168301,5.47
Brussels Airport,Brussels,Belgium,BRU,EBBR,50.90140152,4.48443985
Jehonville Air Base,Bertrix,Belgium,\N,EBBX,49.89170074,5.223889828
Brussels South Charleroi Airport,Charleroi,Belgium,CRL,EBCI,50.459202,4.45382
Chièvres Air Base,Chievres,Belgium,\N,EBCV,50.57580185,3.83100009
Koksijde Air Base,Koksijde,Belgium,\N,EBFN,51.09030151,2.652780056
Florennes Air Base,Florennes,Belgium,\N,EBFS,50.24330139,4.645830154
Wevelgem Airport,Kortrijk-vevelgem,Belgium,KJK,EBKT,50.81719971,3.20472002
Liège Airport,Liege,Belgium,LGG,EBLG,50.63740158,5.443220139
Ostend-Bruges International Airport,Ostend,Belgium,OST,EBOS,51.19889832,2.862220049
Zutendaal Air Base,Zutendaal,Belgium,\N,EBSL,50.94749832,5.590559959
Brustem Airfield Sint Truiden,Sint-truiden,Belgium,\N,EBST,50.791901,5.20167
Saint Hubert Air Base,St.-hubert,Belgium,\N,EBSU,50.03440094,5.440810204
Ursel Air Base,Ursel,Belgium,\N,EBUL,51.14419937,3.47555995
Weelde Air Base,Weelde,Belgium,\N,EBWE,51.39479828,4.960189819
Zoersel (Oostmalle) Airfield,Zoersel,Belgium,OBL,EBZR,51.264702,4.75333
Flugplatz Bautzen,Bautzen,Germany,\N,EDAB,51.193611,14.519722
Altenburg-Nobitz Airport,Altenburg,Germany,AOC,EDAC,50.981945,12.506389
Dessau Airfield,Dessau,Germany,\N,EDAD,51.831694,12.190962
Eisenhüttenstadt Airfield,Eisenhuettenstadt,Germany,\N,EDAE,52.195856,14.58753
Großenhain Airport,Suhl,Germany,\N,EDAK,51.30805588,13.5555563
Merseburg Airport,Muehlhausen,Germany,\N,EDAM,51.3630556,11.9408333
Halle-Oppin Airport,Halle,Germany,\N,EDAQ,51.552223,12.053889
Riesa-Göhlis Airport,Riesa,Germany,IES,EDAU,51.29360962,13.35611057
Rechlin-Lärz Airport,Rechlin-laerz,Germany,REB,EDAX,53.30638886,12.75222206
Strausberg Airport,Strausberg,Germany,\N,EDAY,52.58055496,13.91666698
Schönhagen Airport,Schoenhagen,Germany,QXH,EDAZ,52.203609,13.156389
Barth Airport,Barth,Germany,BBH,EDBH,54.338253,12.710515
Jena-Schöngleina Airfield,Jena,Germany,\N,EDBJ,50.915279,11.714444
Kyritz Airport,Kyritz,Germany,\N,EDBK,52.91888809,12.42527771
"Magdeburg ""City"" Airport",Magdeburg,Germany,ZMG,EDBM,52.073612,11.626389
Rothenburg/Görlitz Airport,Rothenburg/ol,Germany,\N,EDBR,51.36333466,14.94999981
Anklam Airfield,Anklam,Germany,\N,EDCA,53.832779,13.668611
Cottbus-Drewitz Airport,Cottbus,Germany,CBU,EDCD,51.889442,14.531944
Kamenz Airport,Kamenz,Germany,\N,EDCM,51.29694366,14.12749958
Berlin-Schönefeld Airport,Berlin,Germany,SXF,EDDB,52.380001,13.5225
Dresden Airport,Dresden,Germany,DRS,EDDC,51.13280106,13.76720047
Erfurt Airport,Erfurt,Germany,ERF,EDDE,50.97980118,10.95810032
Frankfurt am Main Airport,Frankfurt,Germany,FRA,EDDF,50.033333,8.570556
Münster Osnabrück Airport,Munster,Germany,FMO,EDDG,52.13460159,7.684830189
Hamburg Airport,Hamburg,Germany,HAM,EDDH,53.63040161,9.988229752
Berlin-Tempelhof International Airport,Berlin,Germany,THF,EDDI,52.47299957,13.40390015
Cologne Bonn Airport,Cologne,Germany,CGN,EDDK,50.86589813,7.142739773
Düsseldorf Airport,Duesseldorf,Germany,DUS,EDDL,51.289501,6.76678
Munich Airport,Munich,Germany,MUC,EDDM,48.353802,11.7861
Nuremberg Airport,Nuernberg,Germany,NUE,EDDN,49.498699,11.078056
Leipzig/Halle Airport,Leipzig,Germany,LEJ,EDDP,51.423889,12.236389
Saarbrücken Airport,Saarbruecken,Germany,SCN,EDDR,49.21459961,7.109509945
Stuttgart Airport,Stuttgart,Germany,STR,EDDS,48.68989944,9.221960068
Berlin-Tegel Airport,Berlin,Germany,TXL,EDDT,52.5597,13.2877
Hannover Airport,Hannover,Germany,HAJ,EDDV,52.46110153,9.685079575
Bremen Airport,Bremen,Germany,BRE,EDDW,53.04750061,8.786669731
Frankfurt-Egelsbach Airport,Egelsbach,Germany,QEF,EDFE,49.959999,8.645833
Frankfurt-Hahn Airport,Hahn,Germany,HHN,EDFH,49.9487,7.26389
Mannheim-City Airport,Mannheim,Germany,MHG,EDFM,49.473057,8.514167
Allendorf/Eder Airport,Allendorf,Germany,\N,EDFQ,51.03499985,8.680832863
Worms Airport,Worms,Germany,\N,EDFV,49.606945,8.368333
Mainz-Finthen Airport,Mainz,Germany,\N,EDFZ,49.967499,8.147222
Eisenach-Kindel Airport,Eisenach,Germany,EIB,EDGE,50.991604,10.47973
Siegerland Airport,Siegerland,Germany,SGE,EDGS,50.70769882,8.082969666
Hamburg-Finkenwerder Airport,Hamburg,Germany,XFW,EDHI,53.53527832,9.83555603
Kiel-Holtenau Airport,Kiel,Germany,KEL,EDHK,54.37944412,10.14527798
Lübeck Blankensee Airport,Luebeck,Germany,LBC,EDHL,53.80540085,10.71920013
